FOOD ITEM,MEASURING UNIT,CAL,FAT (g),CARBS (g),PROTEIN (g),SCROLL DOWN TO ADD FOODS
V8 ORIGINAL,SERVING,100,0,20,4,
WHITE RICE,CUP,205,0,45,4,
WHITE TUNA - LARGE CAN,CAN,175,5,0,32.5,
WHITE TUNA - SMALL CAN,CAN,140,4,0,26,
WHOLE WHEAT BREAD,SLICE,100,2,20,5,
Grilled hamburger,4 ounce,140,4.5,0,24,
Green beans (canned),1/2 cup,18,0,4,1,
Tomato Sauce,1/4 cup,20,0,4,1,
Warm cinnamon cereal,3/4 cup,120,1.5,25,4,
smart smoothie,1 scoop,120,2,4,20,
banana pancakes,3-4 pancakes,215,5,30,18,
Chobani greek yogurt,1 cup,120,0,19,12,
Krusteaz Pancake Mix,1/2 cup,180,1.5,37,4,
All Natural Honey,1 tbsp.,64,0,17,0,
Jasmine rice,1/4 cup (raw),160,0,36,3,
Ezekiel 4:9 bread,1 slice,80,0.5,15,4,
Iso-Z5,2 scoops,150,1,4,30,
Oikos Plain Greek Yogurt,1 container,80,0,6,15,
Tilapia,1 ounce,36,1,0,7,
Brown sugar and cinnamon,1 packet,160,2,32,4,
Sweet potato,1 ounce,26,0.2,6,0.5,
Avocado,1 ounce,45,4,2,1,
Gaspari Glycofuse,1 scoop,100,0,25,0,
Oatmeal,1/2 cup,150,3,27,5,
Asparagus,"1 large spear 7""",4,0,0.8,0.4,
Steak (top sirloin),1 ounce,50,1,0,9,
Kerrygold Cheese,1 ounce,110,9,0,7,
Rebuild BCAA,1 scoop,20,0,0,0,
Thomas Bagel (Plain),1 bagel,260,2,51,9,
Smuckers Sugar Free Jam,1 tbsp.,10,0,5,0,
red potatoes,2/3 cup,100,0,23,3,
Gluten Free Penne Pasta,2 oz.,200,1,44,4,
MCT oil,1 tbsp.,128,14,0,0,
pre workout,,,,,,← Please finish filling out the row. Make sure [CAL = 9*FAT + 4*CARBS + 4*PROTEIN]
post workout,,,,,,← Please finish filling out the row. Make sure [CAL = 9*FAT + 4*CARBS + 4*PROTEIN]
cream of rice,1/4 cup (46g measured weight),170,0.5,35,6,
intra workout,,,,,,← Please finish filling out the row. Make sure [CAL = 9*FAT + 4*CARBS + 4*PROTEIN]
Chex Rice Cereal,1 cup,100,0.5,23,2,
meal before bed,,,,,,← Please finish filling out the row. Make sure [CAL = 9*FAT + 4*CARBS + 4*PROTEIN]
nutrigrain bar,1 bar,120,3,24,2,
BCAA,20 g serving,,,,,← Please finish filling out the row. Make sure [CAL = 9*FAT + 4*CARBS + 4*PROTEIN]
96/4 ground beef,4 oz.,136,4.5,0,24,
Fage Greek yogurt total 0%,170g,100,0,7,18,
Walden Farms Strawberry Syrup,30ml,0,0,0,0,
Aminocore,1 scoop,,,,,← Please finish filling out the row. Make sure [CAL = 9*FAT + 4*CARBS + 4*PROTEIN]
Gatorade,32 oz.,200,0,55,0,
John Meadows best bar ever cookie dough,1 bar,330,19,33,20,
broccoli,1 Cup (91 grams),31,0.4,6,2.5,
Isoflex,1 scoop,120,0.5,1,27,
real food blueberry cobbler,1 scoop,100,1,20,1,
EFX Karbolyn,1 scoop,200,0,50,0,
Bear Naked Triple Berry Granola,30g ,120,2,23,3,
MEAL 1,,,,,,← Please finish filling out the row. Make sure [CAL = 9*FAT + 4*CARBS + 4*PROTEIN]
White Potato ,1 oz. cooked weight,26,0,6,0.6,
MEAL 2,,,,,,← Please finish filling out the row. Make sure [CAL = 9*FAT + 4*CARBS + 4*PROTEIN]
Raisin Bran Cereal,59g measured weight,190,1,46,5,
unsweetend vanilla almond milk 30 cal,240ml,30,2.5,1,1,
MEAL 3,,,,,,← Please finish filling out the row. Make sure [CAL = 9*FAT + 4*CARBS + 4*PROTEIN]
MEAL 4,,,,,,← Please finish filling out the row. Make sure [CAL = 9*FAT + 4*CARBS + 4*PROTEIN]
MEAL 5,,,,,,← Please finish filling out the row. Make sure [CAL = 9*FAT + 4*CARBS + 4*PROTEIN]
Kodiak Power Cakes,53g measured weight,190,2,30,14,
postlift,1 scoop,80,0,20,0,
SHAKE,,,,,,← Please finish filling out the row. Make sure [CAL = 9*FAT + 4*CARBS + 4*PROTEIN]
Better Bodies Chocolate Vegan Shake mix ,1 scoop,170,3,22,16,
PB Power Organic,2 Tbsp (16 grams),70,2,5,8,
Hy-Vee Unsweetened Original AlmondMilk,1 cup,30,3,2,1,
Fat Free Sugar Free Instant Pudding,1/4 Package (8 grams),25,0,6,0,
Hyvee Chopped English Walnuts,1/4 cup,190,18,4,4,
Redcon1 Chocolate Protein Ration,1 scoop,150,4,4.5,24,
Peanut Butter Powder,2 Tbsp (16 grams),70,2,5,8,
Nature Valley Honey & Oats,2 bars,190,7,29,3,
Jif Peanut Butter To Go All Natural,1 Cup (43 g),250,20,11,10,
Uncle Bens Ready Rice - Jasmine,1 pouch,420,4.5,87,8,
Dave's Killer Bread 21 Whole Grains and seeds,1 slice,110,1.5,22,5,
Basmati Rice,1/4 cup,60,0,36,3,
,,,,,,← Add a new food item. Make sure [CAL = 9*FAT + 4*CARBS + 4*PROTEIN]
